G,G,G,G,G,G,Total Projected Points,Total Projected Ownership,Total Salary,Expected Value (%)
Christiaan Bezuidenhout (42085962),Steven Fisk (42086006),Max Homa (42085970),Tom Kim (42085985),Keith Mitchell (42085956),Gary Woodland (42086003),430.99,49.81,47200,10.23
Nicolas Echavarria (42085983),Ryan Gerard (42085952),Keith Mitchell (42085956),Thorbjorn Olesen (42085964),Jesper Svensson (42086002),Sami Valimaki (42085977),449.19,86.06,49500,3.66
Ryan Gerard (42085952),Lee Hodges (42085998),Mackenzie Hughes (42085979),Tom Kim (42085985),Shane Lowry (42085951),John Parry (42085980),452.99,89.58,49100,7.15
Christiaan Bezuidenhout (42085962),Garrick Higgo (42085987),Mackenzie Hughes (42085979),Shane Lowry (42085951),Keith Mitchell (42085956),Jesper Svensson (42086002),447.68,69.46,49700,13.59
Ryan Gerard (42085952),Nicolai Hojgaard (42085955),Max Homa (42085970),Tom Kim (42085985),Davis Thompson (42085963),Gary Woodland (42086003),453.09,95.11,50000,-7.77
Michael Brennan (42085992),Steven Fisk (42086006),Ryan Gerard (42085952),Beau Hossler (42086010),Alex Smalley (42085966),Michael Thorbjornsen (42085957),443.99,83.53,48200,-19.72
Christiaan Bezuidenhout (42085962),Ricky Castillo (42085982),Ryan Gerard (42085952),Lee Hodges (42085998),Thorbjorn Olesen (42085964),Will Zalatoris (42085965),444.28,80.53,49900,-12.91
Christiaan Bezuidenhout (42085962),Garrick Higgo (42085987),Chris Kirk (42085971),Keith Mitchell (42085956),Taylor Moore (42086009),Michael Thorbjornsen (42085957),438.99,65.43,49300,1.79
Ryan Gerard (42085952),Nicolai Hojgaard (42085955),Seonghyeon Kim (42086004),Max McGreevy (42085967),Chad Ramey (42086007),Will Zalatoris (42085965),450.78,97.63,49600,13.65
Ryan Gerard (42085952),Mac Meissner (42085969),Keith Mitchell (42085956),Rasmus Neergaard-Petersen (42085958),Chad Ramey (42086007),Gary Woodland (42086003),448.4,78.5,50000,20.4
Garrick Higgo (42085987),Max Homa (42085970),Chris Kirk (42085971),Hao-Tong Li (42085968),Rasmus Neergaard-Petersen (42085958),Daniel Berger (42085960),437.8,60.89,49200,0.7
Christiaan Bezuidenhout (42085962),Lee Hodges (42085998),Tom Kim (42085985),Chris Kirk (42085971),Seamus Power (42085978),Alex Smalley (42085966),430.99,51.84,47000,-12.09
David Ford (42085999),Ryan Gerard (42085952),Doug Ghim (42085986),Stephan Jaeger (42085981),Keith Mitchell (42085956),Davis Thompson (42085963),443.9,81.54,49600,-9.84
Christiaan Bezuidenhout (42085962),Nicolas Echavarria (42085983),Nicolai Hojgaard (42085955),Max McGreevy (42085967),Keith Mitchell (42085956),Dylan Wu (42086012),450.37,81.53,49800,3.41
Michael Brennan (42085992),Shane Lowry (42085951),Seamus Power (42085978),Isaiah Salinda (42086026),Michael Thorbjornsen (42085957),Daniel Berger (42085960),443.99,81.53,49400,-8.43
Christiaan Bezuidenhout (42085962),Max McGreevy (42085967),Kristoffer Reitan (42085974),Alex Smalley (42085966),Dylan Wu (42086012),Daniel Berger (42085960),443.38,65.42,48600,5.76
Ryan Gerard (42085952),Shane Lowry (42085951),Max McGreevy (42085967),Webb Simpson (42086019),Alex Smalley (42085966),Kris Ventura (42085994),455.4,93.61,50000,25.19
Garrick Higgo (42085987),Chris Kirk (42085971),Shane Lowry (42085951),Keith Mitchell (42085956),Aaron Rai (42085961),Dylan Wu (42086012),447.29,71.45,50000,33.23
Blades Brown (42086016),Hao-Tong Li (42085968),Max McGreevy (42085967),Keith Mitchell (42085956),Michael Thorbjornsen (42085957),Kris Ventura (42085994),437.8,73.49,48800,-9.36
Christiaan Bezuidenhout (42085962),Ryan Gerard (42085952),Mackenzie Hughes (42085979),Stephan Jaeger (42085981),Keith Mitchell (42085956),Andrew Putnam (42086015),442.78,79.02,49500,-11.25
Christiaan Bezuidenhout (42085962),Chandler Blanchet (42086037),Ryan Gerard (42085952),Rasmus Hojgaard (42085954),Thorbjorn Olesen (42085964),Vince Whaley (42085996),445.99,79.01,49900,20.38
Michael Brennan (42085992),Nicolas Echavarria (42085983),Ryan Gerard (42085952),Mac Meissner (42085969),Rasmus Neergaard-Petersen (42085958),Kevin Roy (42086000),448.19,81.53,48500,-6.53
Nicolas Echavarria (42085983),Ryan Gerard (42085952),Rico Hoey (42085976),Rasmus Neergaard-Petersen (42085958),Sami Valimaki (42085977),Will Zalatoris (42085965),452.97,92.6,49800,0.5
Billy Horschel (42085997),Shane Lowry (42085951),Max McGreevy (42085967),Vince Whaley (42085996),Will Zalatoris (42085965),Daniel Berger (42085960),446.99,79.02,49600,6.27
Ryan Gerard (42085952),Doug Ghim (42085986),Takumi Kanaya (42086011),Keith Mitchell (42085956),Aaron Rai (42085961),Matt Wallace (42085984),443.5,75.48,49500,5.28
