G,G,G,G,G,G,Total Projected Points,Total Projected Ownership,Total Salary,Expected Value (%)
Eric Cole (42085989),Rasmus Hojgaard (42085954),Mac Meissner (42085969),Thorbjorn Olesen (42085964),Aaron Rai (42085961),Kristoffer Reitan (42085974),440.6,68.45,49800,-6
Christiaan Bezuidenhout (42085962),Nicolas Echavarria (42085983),Rasmus Hojgaard (42085954),Seamus Power (42085978),Alex Smalley (42085966),Jordan L. Smith (42085972),442.49,66.44,49300,1.5
Rico Hoey (42085976),Nicolai Hojgaard (42085955),John Keefer (42085973),Hao-Tong Li (42085968),Mac Meissner (42085969),Rasmus Neergaard-Petersen (42085958),451.68,86.07,50000,-6.93
Michael Brennan (42085992),Eric Cole (42085989),Zecheng Dou (42086008),Doug Ghim (42085986),Rasmus Hojgaard (42085954),Max McGreevy (42085967),432.99,59.9,46500,-21.64
Michael Brennan (42085992),Nicolai Hojgaard (42085955),Kristoffer Reitan (42085974),Matti Schmid (42086018),Jordan L. Smith (42085972),Michael Thorbjornsen (42085957),440.08,77.51,48000,-5.42
Ricky Castillo (42085982),Nicolai Hojgaard (42085955),Seamus Power (42085978),Aaron Rai (42085961),Jordan L. Smith (42085972),Daniel Berger (42085960),443.09,73.48,50000,-1.75
,,,,,,446.7723333,78.95086667,49372.66667,5.295666667
GOLFER EXPOSURE,,,,,,,,,
Golfer,Lineups,Exposure % (of 150),,,,,,,
Shane Lowry,52,34.7,,,,,,,
Ryan Gerard,52,34.7,,,,,,,
Nicolai Hojgaard,43,28.7,,,,,,,
Keith Mitchell,35,23.3,,,,,,,
Michael Thorbjornsen,30,20,,,,,,,
Rasmus Hojgaard,30,20,,,,,,,
Max McGreevy,28,18.7,,,,,,,
Rasmus Neergaard-Petersen,27,18,,,,,,,
Daniel Berger,27,18,,,,,,,
Rico Hoey,25,16.7,,,,,,,
Alex Smalley,25,16.7,,,,,,,
Davis Thompson,24,16,,,,,,,
Christiaan Bezuidenhout,23,15.3,,,,,,,
Tom Kim,22,14.7,,,,,,,
Mac Meissner,22,14.7,,,,,,,
Sami Valimaki,20,13.3,,,,,,,
Will Zalatoris,19,12.7,,,,,,,
Mackenzie Hughes,19,12.7,,,,,,,
John Parry,18,12,,,,,,,
Michael Brennan,17,11.3,,,,,,,
Garrick Higgo,17,11.3,,,,,,,
Chris Kirk,16,10.7,,,,,,,
Hao-Tong Li,15,10,,,,,,,
Vince Whaley,14,9.3,,,,,,,
Nicolas Echavarria,14,9.3,,,,,,,
Thorbjorn Olesen,13,8.7,,,,,,,
Aaron Rai,12,8,,,,,,,
Ricky Castillo,12,8,,,,,,,
Jordan L. Smith,12,8,,,,,,,
Kris Ventura,11,7.3,,,,,,,
Doug Ghim,10,6.7,,,,,,,
Stephan Jaeger,10,6.7,,,,,,,
Gary Woodland,10,6.7,,,,,,,
Kevin Yu,9,6,,,,,,,
Joel Dahmen,9,6,,,,,,,
Kristoffer Reitan,9,6,,,,,,,
Jesper Svensson,9,6,,,,,,,
John Keefer,9,6,,,,,,,
Seamus Power,9,6,,,,,,,
Zecheng Dou,8,5.3,,,,,,,
Dylan Wu,8,5.3,,,,,,,
Max Homa,8,5.3,,,,,,,
Matt Wallace,7,4.7,,,,,,,
Beau Hossler,7,4.7,,,,,,,
Kevin Roy,6,4,,,,,,,
Adrien Dumont De Chassart,6,4,,,,,,,
Takumi Kanaya,5,3.3,,,,,,,
Chad Ramey,5,3.3,,,,,,,
Lee Hodges,5,3.3,,,,,,,
Billy Horschel,5,3.3,,,,,,,
Seonghyeon Kim,4,2.7,,,,,,,
Adrien Saddier,4,2.7,,,,,,,
Steven Fisk,4,2.7,,,,,,,
Andrew Putnam,3,2,,,,,,,
Emiliano Grillo,3,2,,,,,,,
John VanDerLaan,3,2,,,,,,,
Eric Cole,3,2,,,,,,,
Mark Hubbard,3,2,,,,,,,
Taylor Moore,2,1.3,,,,,,,
Adam Hadwin,2,1.3,,,,,,,
Blades Brown,2,1.3,,,,,,,
Chandler Blanchet,2,1.3,,,,,,,
Brooks Koepka,2,1.3,,,,,,,
Austin Eckroat,2,1.3,,,,,,,
Daniel Brown,1,0.7,,,,,,,
Nick Dunlap,1,0.7,,,,,,,
David Lipsky,1,0.7,,,,,,,
Danny Walker,1,0.7,,,,,,,
David Ford,1,0.7,,,,,,,
Isaiah Salinda,1,0.7,,,,,,,
Webb Simpson,1,0.7,,,,,,,
Matthieu Pavon,1,0.7,,,,,,,
Adam Svensson,1,0.7,,,,,,,
Brice Garnett,1,0.7,,,,,,,
Keita Nakajima,1,0.7,,,,,,,
Matt Kuchar,1,0.7,,,,,,,
Matti Schmid,1,0.7,,,,,,,
