G,G,G,G,G,G
Collin Morikawa (22085),Jon Rahm (19195),Russell Henley (14578),Sergio Garcia (5689),Daniel Berger (17606),Taylor Pendrith (17780)
Scottie Scheffler (18417),Collin Morikawa (22085),Sergio Garcia (5689),J.J. Spaun (17536),Taylor Pendrith (17780),Harris English (14577)
Rory McIlroy (10091),Tommy Fleetwood (12294),Patrick Cantlay (15466),Sergio Garcia (5689),Daniel Berger (17606),Davis Thompson (27364)
Scottie Scheffler (18417),Jon Rahm (19195),Daniel Berger (17606),Aaron Rai (18554),Denny McCarthy (19870),Lucas Glover (7399)
Collin Morikawa (22085),Jon Rahm (19195),Patrick Cantlay (15466),Keegan Bradley (13872),Aaron Rai (18554),J.T. Poston (21554)
Scottie Scheffler (18417),Patrick Cantlay (15466),Will Zalatoris (19428),Sergio Garcia (5689),Davis Thompson (27364),J.T. Poston (21554)
Scottie Scheffler (18417),Tommy Fleetwood (12294),Robert MacIntyre (23323),Aaron Rai (18554),Denny McCarthy (19870),Taylor Pendrith (17780)
Scottie Scheffler (18417),Joaquin Niemann (18079),Corey Conners (17576),J.J. Spaun (17536),Aaron Rai (18554),Michael Kim (17543)
Scottie Scheffler (18417),Collin Morikawa (22085),Daniel Berger (17606),J.J. Spaun (17536),Denny McCarthy (19870),J.T. Poston (21554)
Scottie Scheffler (18417),Tommy Fleetwood (12294),Corey Conners (17576),Daniel Berger (17606),Denny McCarthy (19870),Michael Kim (17543)
Rory McIlroy (10091),Bryson DeChambeau (19841),Robert MacIntyre (23323),Patrick Reed (14838),Sergio Garcia (5689),J.T. Poston (21554)
Scottie Scheffler (18417),Jon Rahm (19195),Keegan Bradley (13872),Aaron Rai (18554),Byeong Hun An (14459),Taylor Pendrith (17780)
Jon Rahm (19195),Joaquin Niemann (18079),Russell Henley (14578),Robert MacIntyre (23323),Sergio Garcia (5689),Laurie Canter (14795)
Jon Rahm (19195),Shane Lowry (13900),Patrick Cantlay (15466),Corey Conners (17576),Sepp Straka (17511),Nick Taylor (13126)
Rory McIlroy (10091),Justin Thomas (14139),Russell Henley (14578),Daniel Berger (17606),Davis Thompson (27364),J.J. Spaun (17536)
Scottie Scheffler (18417),Tommy Fleetwood (12294),Patrick Cantlay (15466),J.J. Spaun (17536),J.T. Poston (21554),Nick Taylor (13126)
Collin Morikawa (22085),Tommy Fleetwood (12294),Russell Henley (14578),Akshay Bhatia (26096),Sergio Garcia (5689),J.J. Spaun (17536)
Collin Morikawa (22085),Jon Rahm (19195),Patrick Cantlay (15466),Tom Kim (24766),Michael Kim (17543),Taylor Pendrith (17780)
Collin Morikawa (22085),Bryson DeChambeau (19841),Patrick Cantlay (15466),Davis Thompson (27364),Keegan Bradley (13872),J.J. Spaun (17536)
Rory McIlroy (10091),Bryson DeChambeau (19841),Joaquin Niemann (18079),Aaron Rai (18554),Taylor Pendrith (17780),Stephan Jaeger (16394)
Scottie Scheffler (18417),Bryson DeChambeau (19841),Patrick Reed (14838),Sergio Garcia (5689),J.J. Spaun (17536),Matt McCarty (28635)
Jon Rahm (19195),Bryson DeChambeau (19841),Shane Lowry (13900),Tony Finau (11676),Sergio Garcia (5689),Laurie Canter (14795)
Rory McIlroy (10091),Collin Morikawa (22085),Sepp Straka (17511),Daniel Berger (17606),J.J. Spaun (17536),Aaron Rai (18554)
Rory McIlroy (10091),Jon Rahm (19195),Tommy Fleetwood (12294),Taylor Pendrith (17780),J.T. Poston (21554),Charl Schwartzel (7398)
Jon Rahm (19195),Hideki Matsuyama (13562),Shane Lowry (13900),Corey Conners (17576),J.J. Spaun (17536),Taylor Pendrith (17780)
Bryson DeChambeau (19841),Joaquin Niemann (18079),Patrick Cantlay (15466),Russell Henley (14578),Aaron Rai (18554),Denny McCarthy (19870)
Rory McIlroy (10091),Collin Morikawa (22085),Russell Henley (14578),Denny McCarthy (19870),Michael Kim (17543),J.T. Poston (21554)
Rory McIlroy (10091),Jon Rahm (19195),Akshay Bhatia (26096),Davis Thompson (27364),Aaron Rai (18554),J.T. Poston (21554)
Jon Rahm (19195),Joaquin Niemann (18079),Corey Conners (17576),Sepp Straka (17511),Jason Day (9771),Sergio Garcia (5689)
Scottie Scheffler (18417),Joaquin Niemann (18079),Sergio Garcia (5689),Davis Thompson (27364),Tom Kim (24766),J.J. Spaun (17536)
Scottie Scheffler (18417),Russell Henley (14578),Robert MacIntyre (23323),Sergio Garcia (5689),Keegan Bradley (13872),Byeong Hun An (14459)
Scottie Scheffler (18417),Rory McIlroy (10091),Patrick Reed (14838),J.T. Poston (21554),Harris English (14577),Joe Highsmith (28469)
Scottie Scheffler (18417),Bryson DeChambeau (19841),Jason Day (9771),Denny McCarthy (19870),Taylor Pendrith (17780),Austin Eckroat (26653)
Jon Rahm (19195),Patrick Cantlay (15466),Robert MacIntyre (23323),Corey Conners (17576),Sergio Garcia (5689),Tom Kim (24766)
Scottie Scheffler (18417),Justin Thomas (14139),Corey Conners (17576),Davis Thompson (27364),Taylor Pendrith (17780),Nick Taylor (13126)
Scottie Scheffler (18417),Bryson DeChambeau (19841),Keegan Bradley (13872),Tom Kim (24766),J.J. Spaun (17536),Denny McCarthy (19870)
Scottie Scheffler (18417),Bryson DeChambeau (19841),Patrick Cantlay (15466),J.T. Poston (21554),Laurie Canter (14795),Joe Highsmith (28469)
Rory McIlroy (10091),Tommy Fleetwood (12294),Patrick Cantlay (15466),Sepp Straka (17511),Denny McCarthy (19870),J.T. Poston (21554)
Rory McIlroy (10091),Tommy Fleetwood (12294),Russell Henley (14578),Sergio Garcia (5689),Denny McCarthy (19870),Byeong Hun An (14459)
Collin Morikawa (22085),Jon Rahm (19195),Shane Lowry (13900),Daniel Berger (17606),Maverick McNealy (18634),Lucas Glover (7399)
Collin Morikawa (22085),Bryson DeChambeau (19841),Shane Lowry (13900),Sergio Garcia (5689),Michael Kim (17543),Joe Highsmith (28469)
Jon Rahm (19195),Bryson DeChambeau (19841),Justin Thomas (14139),Sergio Garcia (5689),Lucas Glover (7399),Joe Highsmith (28469)
Scottie Scheffler (18417),Hideki Matsuyama (13562),Akshay Bhatia (26096),Sergio Garcia (5689),Denny McCarthy (19870),Laurie Canter (14795)
Jon Rahm (19195),Bryson DeChambeau (19841),Patrick Cantlay (15466),Jason Day (9771),Denny McCarthy (19870),Nick Taylor (13126)
Scottie Scheffler (18417),Bryson DeChambeau (19841),Robert MacIntyre (23323),Aaron Rai (18554),Maverick McNealy (18634),Joe Highsmith (28469)
Scottie Scheffler (18417),Bryson DeChambeau (19841),Sergio Garcia (5689),Daniel Berger (17606),Maverick McNealy (18634),Max Greyserman (23465)
Scottie Scheffler (18417),Joaquin Niemann (18079),Robert MacIntyre (23323),Denny McCarthy (19870),Byeong Hun An (14459),Michael Kim (17543)
Rory McIlroy (10091),Shane Lowry (13900),Corey Conners (17576),Sergio Garcia (5689),Keegan Bradley (13872),Maverick McNealy (18634)
Scottie Scheffler (18417),Robert MacIntyre (23323),Corey Conners (17576),Sahith Theegala (23014),Sergio Garcia (5689),Justin Rose (6093)
Jon Rahm (19195),Patrick Cantlay (15466),Russell Henley (14578),Corey Conners (17576),Sungjae Im (17488),Davis Thompson (27364)
Rory McIlroy (10091),Collin Morikawa (22085),Russell Henley (14578),Sergio Garcia (5689),Matt McCarty (28635),Joe Highsmith (28469)
Scottie Scheffler (18417),Patrick Cantlay (15466),Akshay Bhatia (26096),Daniel Berger (17606),Davis Thompson (27364),Lucas Glover (7399)
Rory McIlroy (10091),Jon Rahm (19195),Patrick Reed (14838),Sergio Garcia (5689),Aaron Rai (18554),Harris English (14577)
Jon Rahm (19195),Bryson DeChambeau (19841),Joaquin Niemann (18079),Patrick Reed (14838),Taylor Pendrith (17780),Austin Eckroat (26653)
Rory McIlroy (10091),Jon Rahm (19195),Sepp Straka (17511),Patrick Reed (14838),Maverick McNealy (18634),J.T. Poston (21554)
Rory McIlroy (10091),Collin Morikawa (22085),Jason Day (9771),Daniel Berger (17606),Keegan Bradley (13872),Michael Kim (17543)
Scottie Scheffler (18417),Bryson DeChambeau (19841),Sepp Straka (17511),Denny McCarthy (19870),Lucas Glover (7399),Brian Harman (8825)
Bryson DeChambeau (19841),Joaquin Niemann (18079),Hideki Matsuyama (13562),Corey Conners (17576),Sergio Garcia (5689),Maverick McNealy (18634)
Collin Morikawa (22085),Shane Lowry (13900),Russell Henley (14578),Corey Conners (17576),Adam Scott (6430),Sergio Garcia (5689)
Rory McIlroy (10091),Justin Thomas (14139),Tommy Fleetwood (12294),Sergio Garcia (5689),J.T. Poston (21554),Nick Taylor (13126)
Scottie Scheffler (18417),Will Zalatoris (19428),Sepp Straka (17511),Sergio Garcia (5689),Keegan Bradley (13872),J.J. Spaun (17536)
Bryson DeChambeau (19841),Patrick Cantlay (15466),Russell Henley (14578),Will Zalatoris (19428),Sergio Garcia (5689),Keegan Bradley (13872)
Scottie Scheffler (18417),Shane Lowry (13900),Robert MacIntyre (23323),Patrick Reed (14838),Sergio Garcia (5689),Laurie Canter (14795)
Jon Rahm (19195),Joaquin Niemann (18079),Tommy Fleetwood (12294),Patrick Reed (14838),Sergio Garcia (5689),J.T. Poston (21554)
Rory McIlroy (10091),Joaquin Niemann (18079),Patrick Cantlay (15466),Sungjae Im (17488),Keegan Bradley (13872),Joe Highsmith (28469)
Jon Rahm (19195),Bryson DeChambeau (19841),Russell Henley (14578),Sepp Straka (17511),Keegan Bradley (13872),Taylor Pendrith (17780)
Scottie Scheffler (18417),Patrick Cantlay (15466),Corey Conners (17576),Keegan Bradley (13872),Aaron Rai (18554),Matt McCarty (28635)
Jon Rahm (19195),Joaquin Niemann (18079),Tyrrell Hatton (14796),Corey Conners (17576),Michael Kim (17543),J.T. Poston (21554)
Scottie Scheffler (18417),Akshay Bhatia (26096),Robert MacIntyre (23323),Corey Conners (17576),Michael Kim (17543),Nick Taylor (13126)
Rory McIlroy (10091),Collin Morikawa (22085),Shane Lowry (13900),Taylor Pendrith (17780),Harris English (14577),Nick Taylor (13126)
Scottie Scheffler (18417),Patrick Cantlay (15466),Wyndham Clark (23604),Sepp Straka (17511),Aaron Rai (18554),Taylor Pendrith (17780)
Collin Morikawa (22085),Jon Rahm (19195),Bryson DeChambeau (19841),Nick Taylor (13126),Kevin Yu (17881),Joe Highsmith (28469)
Rory McIlroy (10091),Collin Morikawa (22085),Patrick Cantlay (15466),Denny McCarthy (19870),Austin Eckroat (26653),Matt McCarty (28635)
Scottie Scheffler (18417),Shane Lowry (13900),Min Woo Lee (16841),Sergio Garcia (5689),Taylor Pendrith (17780),Joe Highsmith (28469)
Collin Morikawa (22085),Joaquin Niemann (18079),Tommy Fleetwood (12294),Adam Scott (6430),Sergio Garcia (5689),Lucas Glover (7399)
Rory McIlroy (10091),Joaquin Niemann (18079),Robert MacIntyre (23323),Davis Thompson (27364),Tom Kim (24766),Aaron Rai (18554)
Collin Morikawa (22085),Joaquin Niemann (18079),Robert MacIntyre (23323),Sepp Straka (17511),Patrick Reed (14838),Sergio Garcia (5689)
Rory McIlroy (10091),Tommy Fleetwood (12294),Corey Conners (17576),Sahith Theegala (23014),Daniel Berger (17606),Keegan Bradley (13872)
Collin Morikawa (22085),Shane Lowry (13900),Patrick Cantlay (15466),Robert MacIntyre (23323),Davis Thompson (27364),Brian Harman (8825)
Collin Morikawa (22085),Tommy Fleetwood (12294),Will Zalatoris (19428),Sepp Straka (17511),Sergio Garcia (5689),Denny McCarthy (19870)
Scottie Scheffler (18417),Rory McIlroy (10091),J.J. Spaun (17536),Aaron Rai (18554),Nick Taylor (13126),Matt McCarty (28635)
Bryson DeChambeau (19841),Patrick Cantlay (15466),Tyrrell Hatton (14796),Akshay Bhatia (26096),Corey Conners (17576),J.J. Spaun (17536)
Bryson DeChambeau (19841),Tommy Fleetwood (12294),Russell Henley (14578),Robert MacIntyre (23323),Jason Day (9771),Keegan Bradley (13872)
Rory McIlroy (10091),Bryson DeChambeau (19841),Akshay Bhatia (26096),Adam Scott (6430),Sergio Garcia (5689),Maverick McNealy (18634)
Scottie Scheffler (18417),Shane Lowry (13900),Corey Conners (17576),Sepp Straka (17511),Lucas Glover (7399),Kevin Yu (17881)
