Lineup #,G,G,G,G,G,G,Salary,Proj Pts,Proj ROI %,Geomean Own %
4602,Ryan Gerard,Nicolai Hojgaard,Keith Mitchell,Matt Wallace,Gary Woodland,Webb Simpson,49500,424.5,14.1,6.73
2444,Shane Lowry,Ryan Gerard,Nicolai Hojgaard,Chad Ramey,Dylan Wu,Adam Hadwin,49400,427.5,6.8,8.02
4802,Nicolai Hojgaard,Rasmus Neergaard-Petersen,Alex Smalley,Kristoffer Reitan,Ricky Castillo,Matt Wallace,49400,424.2,4.4,7.88
1368,Ryan Gerard,Rasmus Hojgaard,Nicolai Hojgaard,Mackenzie Hughes,Nicolas Echavarria,Christo Lamprecht,49900,429.5,2.5,9.13
10763,Shane Lowry,Ryan Gerard,Max McGreevy,Emiliano Grillo,Takumi Kanaya,Chan Kim,48700,418.6,14.6,6.31
3859,Ryan Gerard,Davis Thompson,Alex Smalley,Rico Hoey,Ricky Castillo,Taylor Moore,48600,425.4,4.7,7.85
1604,Ryan Gerard,Keith Mitchell,Michael Thorbjornsen,Michael Brennan,Seonghyeon Kim,Dylan Wu,49200,429.0,-0.1,9.34
6399,Shane Lowry,Ryan Gerard,Davis Thompson,Mackenzie Hughes,Adam Hadwin,Adrien Saddier,49100,422.6,9.5,7.25
11178,Shane Lowry,Keith Mitchell,Davis Thompson,Thorbjorn Olesen,Gary Woodland,Webb Simpson,50000,418.2,15.2,6.09
10399,Shane Lowry,Nicolai Hojgaard,Thorbjorn Olesen,Alex Smalley,Taylor Moore,Webb Simpson,49700,418.9,14.5,6.36
2500,Shane Lowry,Ryan Gerard,Thorbjorn Olesen,Tom Kim,Michael Brennan,Chan Kim,49500,427.4,6.3,8.15
747,Ryan Gerard,Rasmus Hojgaard,Mac Meissner,Rico Hoey,Nicolas Echavarria,Vince Whaley,49300,431.4,0.3,9.44
975,Ryan Gerard,Nicolai Hojgaard,Thorbjorn Olesen,Mackenzie Hughes,Stephan Jaeger,Garrick Higgo,49900,430.5,0.7,9.11
3509,Shane Lowry,Rasmus Hojgaard,Nicolai Hojgaard,Garrick Higgo,Taylor Moore,Dylan Wu,49800,425.8,7.2,7.65
11103,Ryan Gerard,Rasmus Hojgaard,Michael Thorbjornsen,Jesper Svensson,Takumi Kanaya,Chan Kim,49100,418.3,13.0,6.53
5960,Ryan Gerard,Rasmus Hojgaard,Nicolai Hojgaard,Doug Ghim,Kevin Roy,Chandler Blanchet,49500,423.0,3.7,8.27
