G,G,G,G,G,G
Collin Morikawa (42046027),Sam Burns (42046032),Chris Gotterup (42046033),Harris English (42046042),J.J. Spaun (42046051),Sahith Theegala (42046063)
Xander Schauffele (42046024),Hideki Matsuyama (42046026),Chris Gotterup (42046033),Harry Hall (42046053),Ryan Gerard (42046056),Sahith Theegala (42046063)
Tommy Fleetwood (42046023),Si Woo Kim (42046029),Justin Rose (42046041),Harris English (42046042),Akshay Bhatia (42046050),Sahith Theegala (42046063)
Xander Schauffele (42046024),Russell Henley (42046025),Si Woo Kim (42046029),Min Woo Lee (42046048),Tony Finau (42046068),Sam Stevens (42046069)
Tommy Fleetwood (42046023),Hideki Matsuyama (42046026),Chris Gotterup (42046033),Kurt Kitayama (42046055),Ryan Gerard (42046056),Sam Stevens (42046069)
Scottie Scheffler (42046021),Justin Rose (42046041),Adam Scott (42046043),Daniel Berger (42046065),Sam Stevens (42046069),Marco Penge (42046086)
Scottie Scheffler (42046021),Harris English (42046042),J.J. Spaun (42046051),Ryan Gerard (42046056),Jacob Bridgeman (42046066),Marco Penge (42046086)
Scottie Scheffler (42046021),Harris English (42046042),Pierceson Coody (42046054),Ryan Gerard (42046056),Patrick Rodgers (42046064),Garrick Higgo (42046080)
Rory McIlroy (42046022),Collin Morikawa (42046027),Harris English (42046042),Harry Hall (42046053),Ryo Hisatsune (42046067),Sam Stevens (42046069)
Xander Schauffele (42046024),Hideki Matsuyama (42046026),Sam Burns (42046032),Jason Day (42046046),Taylor Pendrith (42046057),Max McGreevy (42046075)
Scottie Scheffler (42046021),Matt Fitzpatrick (42046037),Jordan Spieth (42046049),Denny McCarthy (42046071),Aaron Rai (42046077),Garrick Higgo (42046080)
Russell Henley (42046025),Si Woo Kim (42046029),Sam Burns (42046032),Min Woo Lee (42046048),Akshay Bhatia (42046050),Jacob Bridgeman (42046066)
Si Woo Kim (42046029),Sam Burns (42046032),Rickie Fowler (42046036),Justin Rose (42046041),Sepp Straka (42046044),Nick Taylor (42046052)
Tommy Fleetwood (42046023),Xander Schauffele (42046024),Adam Scott (42046043),Nick Taylor (42046052),Ryan Gerard (42046056),Max Greyserman (42046070)
Xander Schauffele (42046024),Si Woo Kim (42046029),Cameron Young (42046030),Harris English (42046042),Harry Hall (42046053),Matthew McCarty (42046073)
Scottie Scheffler (42046021),Jake Knapp (42046035),Maverick McNealy (42046040),Garrick Higgo (42046080),Nicolas Echavarria (42046082),Bud Cauley (42046084)
Rory McIlroy (42046022),Russell Henley (42046025),Collin Morikawa (42046027),Alex Noren (42046060),Max McGreevy (42046075),Tom Kim (42046087)
Xander Schauffele (42046024),Collin Morikawa (42046027),Si Woo Kim (42046029),Keegan Bradley (42046047),Kurt Kitayama (42046055),Rico Hoey (42046072)
Scottie Scheffler (42046021),Jordan Spieth (42046049),J.J. Spaun (42046051),Patrick Rodgers (42046064),Jacob Bridgeman (42046066),Max Greyserman (42046070)
Tommy Fleetwood (42046023),Patrick Cantlay (42046028),Si Woo Kim (42046029),Harris English (42046042),Denny McCarthy (42046071),Aaron Rai (42046077)
Scottie Scheffler (42046021),Ludvig Aberg (42046038),Pierceson Coody (42046054),Alex Noren (42046060),Jacob Bridgeman (42046066),Andrew Novak (42046083)
Russell Henley (42046025),Patrick Cantlay (42046028),Si Woo Kim (42046029),Harris English (42046042),Nick Taylor (42046052),Rico Hoey (42046072)
Xander Schauffele (42046024),Chris Gotterup (42046033),Ben Griffin (42046034),Pierceson Coody (42046054),Ryan Gerard (42046056),Max Greyserman (42046070)
Scottie Scheffler (42046021),Keegan Bradley (42046047),Nick Taylor (42046052),Pierceson Coody (42046054),Alex Noren (42046060),Tom Kim (42046087)
Tommy Fleetwood (42046023),Xander Schauffele (42046024),Ben Griffin (42046034),Nick Taylor (42046052),Daniel Berger (42046065),Sam Stevens (42046069)
