Lineup #,G,G,G,G,G,G,Salary,Proj Pts,Proj ROI %,Geomean Own %
8192,Jon Rahm,Justin Thomas,Daniel Berger,Sebastian Munoz,Tommy Gainey,Erik Van Rooyen,50000,385.6,1.1,4.34
9423,Xander Schauffele,Daniel Berger,Kristoffer Ventura,Sergio Garcia,Ryan Palmer,Mackenzie Hughes,49100,383.4,0.5,5.14
6655,Dustin Johnson,Jon Rahm,Harris English,Ryan Palmer,Sebastian Munoz,Derek Ernst,50000,388.5,1.8,6.73
5628,Xander Schauffele,Tony Finau,Hideki Matsuyama,Will Zalatoris,Kevin Na,Erik Van Rooyen,50000,390.6,2.4,10.55
8693,Dustin Johnson,Bryson DeChambeau,Ryan Palmer,Bernd Wiesberger,Mackenzie Hughes,Erik Van Rooyen,48000,384.8,0.9,10.96
2775,Xander Schauffele,Bryson DeChambeau,Will Zalatoris,Justin Rose,Abraham Ancer,Erik Van Rooyen,49400,397.7,4.3,12.68
2475,Bryson DeChambeau,Viktor Hovland,Will Zalatoris,Matthew Wolff,Bubba Watson,Ryan Palmer,49400,398.7,4.5,13.45
10563,Brooks Koepka,Viktor Hovland,Patrick Reed,Will Zalatoris,Matthew Wolff,Sebastian Saavedra,49700,381.4,-0.0,6.01
1492,Justin Thomas,Viktor Hovland,Daniel Berger,Will Zalatoris,Mackenzie Hughes,Brad Kennedy,49700,402.4,5.5,9.44
186,Xander Schauffele,Bryson DeChambeau,Will Zalatoris,Harris English,Christiaan Bezuidenhout,Mackenzie Hughes,49700,412.7,8.2,12.34
9047,Xander Schauffele,Rory McIlroy,Daniel Berger,Sebastian Munoz,Mackenzie Hughes,Sebastian Saavedra,49400,384.1,0.7,4.67
8868,Xander Schauffele,Daniel Berger,Scottie Scheffler,Kramer Hickok,Ryan Palmer,Kevin Na,49900,384.4,0.8,6.04
10273,Jon Rahm,Daniel Berger,Joaquin Niemann,Will Zalatoris,Stephen Stallings Jr.,Eric Axley,49100,381.9,0.1,3.33
8873,Bryson DeChambeau,Tony Finau,Tyrrell Hatton,Carlos Ortiz,Abraham Ancer,Sebastian Munoz,49900,384.4,0.8,13.49
2595,Dustin Johnson,Bryson DeChambeau,Will Zalatoris,Carlos Ortiz,Lanto Griffin,Mackenzie Hughes,49900,398.3,4.4,13.72
5767,Xander Schauffele,Justin Thomas,Will Zalatoris,Matthew Wolff,Bernd Wiesberger,Brendon De Jonge,49900,390.3,2.3,4.89
9832,Justin Thomas,Tony Finau,Will Zalatoris,Matthew Wolff,Sergio Garcia,George McNeill,49900,382.7,0.3,5.21
6265,Jon Rahm,Bryson DeChambeau,Harris English,Adam Schenk,Abraham Ancer,Sebastian Munoz,49200,389.3,2.1,6.48
10499,Tony Finau,Daniel Berger,Jhonattan Vegas,Will Zalatoris,Ryan Palmer,Carlos Franco,49600,381.5,0.0,3.38
8152,Jon Rahm,Daniel Berger,Jhonattan Vegas,Billy Horschel,Abraham Ancer,Mackenzie Hughes,49900,385.7,1.1,6.17
9091,Rory McIlroy,Patrick Reed,Scottie Scheffler,Joaquin Niemann,Billy Horschel,Mackenzie Hughes,49400,384.0,0.7,13.53
6732,Xander Schauffele,Sungjae Im,Scottie Scheffler,Will Zalatoris,Bernd Wiesberger,Mackenzie Hughes,49000,388.4,1.8,12.54
830,Bryson DeChambeau,Tony Finau,Collin Morikawa,Will Zalatoris,Abraham Ancer,Mackenzie Hughes,49900,406.0,6.4,14.82
3692,Justin Thomas,Patrick Reed,Webb Simpson,Will Zalatoris,Billy Horschel,Eric Axley,49800,395.0,3.5,6.01
7701,Justin Thomas,Tony Finau,Cameron Smith,Will Zalatoris,Sang-Moon Bae,Mackenzie Hughes,50000,386.5,1.3,5.77
9822,Justin Thomas,Bryson DeChambeau,Matthew Fitzpatrick,Adam Scott,Mackenzie Hughes,John Rollins,49500,382.7,0.3,4.45
8602,Bryson DeChambeau,Scottie Scheffler,Joaquin Niemann,Louis Oosthuizen,Ryan Palmer,Abraham Ancer,48200,384.9,0.9,17.25
9174,Justin Thomas,Bryson DeChambeau,Daniel Berger,Abraham Ancer,Sebastian Saavedra,Carlos Franco,48500,383.9,0.6,2.77
4731,Jon Rahm,Hideki Matsuyama,Will Zalatoris,Matthew Wolff,Ryan Palmer,Jason Kokrak,49400,392.6,2.9,12.09
8724,Nelly Korda,Daniel Berger,Patrick Reed,Matthew Wolff,Ryan Palmer,Mackenzie Hughes,49500,384.7,0.8,5.2
5441,Xander Schauffele,Daniel Berger,Louis Oosthuizen,Harris English,Ryan Palmer,Parker McLachlin,49000,391.0,2.5,6.35
5632,Dustin Johnson,Viktor Hovland,Patrick Reed,Ryan Palmer,Mackenzie Hughes,JC Ritchie,49900,390.6,2.4,7.12
4598,Dustin Johnson,Justin Thomas,Will Zalatoris,Abraham Ancer,Lanto Griffin,Min Woo Lee,49600,392.8,3.0,7.48
10512,Justin Thomas,Patrick Reed,Matthew Fitzpatrick,Joaquin Niemann,Matthew Wolff,Brad Kennedy,50000,381.5,0.0,7.71
7699,Justin Thomas,Viktor Hovland,Webb Simpson,Will Zalatoris,Lanto Griffin,Jason Scrivener,50000,386.5,1.3,9.54
4723,Jon Rahm,Justin Thomas,Will Zalatoris,Harris English,Ricky Barnes,Jason Bohn,49800,392.6,2.9,3.0
2093,Rory McIlroy,Tyrrell Hatton,Will Zalatoris,Harris English,Ryan Palmer,Lanto Griffin,49400,400.0,4.9,16.31
