#,G,G,G,G,G,G,Salary,Proj,Mean Payout,ROI%
51,Davis Thompson,Christiaan Bezuidenhout,Alex Smalley,Thorbjorn Olesen,Chan Kim,Mackenzie Hughes,"$48,900",239.9,$19.67,+293.5%
52,Keith Mitchell,Rasmus Neergaard-Petersen,Davis Thompson,John Parry,Adrien Saddier,Daniel Brown,"$49,800",241.8,$18.92,+278.4%
53,Ryan Gerard,Keith Mitchell,Beau Hossler,Matt Wallace,Sudarshan Yellamaraju,Matthieu Pavon,"$48,200",241.5,$18.03,+260.6%
54,Nicolai Hojgaard,Kristoffer Reitan,Michael Brennan,Jordan L. Smith,Kevin Roy,Dylan Wu,"$48,000",241.8,$18.06,+261.2%
55,Rasmus Hojgaard,Rasmus Neergaard-Petersen,John Parry,Max Homa,Steven Fisk,Zecheng Dou,"$48,800",240.6,$15.94,+218.7%
56,Nicolai Hojgaard,Aaron Rai,Michael Brennan,Jordan L. Smith,Takumi Kanaya,Zachary Bauchou,"$48,200",240.0,$16.32,+226.4%
57,Keith Mitchell,Rasmus Hojgaard,Rasmus Neergaard-Petersen,Lee Hodges,Mackenzie Hughes,Matt Wallace,"$50,000",244.2,$20.48,+309.6%
58,Nicolai Hojgaard,Daniel Berger,Matti Schmid,Austin Smotherman,Jordan L. Smith,Hank Lebioda,"$48,900",238.0,$14.29,+185.8%
59,Keith Mitchell,Christiaan Bezuidenhout,Alex Smalley,Ricky Castillo,Steven Fisk,Sudarshan Yellamaraju,"$49,000",239.9,$18.84,+276.8%
60,Ryan Gerard,Rasmus Hojgaard,Thorbjorn Olesen,John Parry,Matt Wallace,Kevin Streelman,"$50,000",241.6,$16.57,+231.3%
61,Ryan Gerard,Max McGreevy,Max Homa,Adrien Saddier,Zecheng Dou,Matthieu Pavon,"$48,200",240.9,$16.08,+221.5%
62,Shane Lowry,Aaron Rai,Austin Smotherman,Tom Kim,William Mouw,Takumi Kanaya,"$48,300",239.0,$13.77,+175.3%
63,Daniel Berger,Hao-Tong Li,Billy Horschel,Taylor Moore,Kevin Roy,Garrick Higgo,"$48,400",236.6,$13.47,+169.5%
64,Shane Lowry,Hao-Tong Li,Michael Brennan,Billy Horschel,Jordan L. Smith,Adrien Dumont De Chassart,"$49,100",241.3,$16.39,+227.9%
65,Ryan Gerard,Christiaan Bezuidenhout,Max Homa,Lee Hodges,Matt Wallace,Sudarshan Yellamaraju,"$48,200",242.3,$18.42,+268.4%
66,Ryan Gerard,Rasmus Hojgaard,Beau Hossler,Steven Fisk,Mackenzie Hughes,Zecheng Dou,"$48,700",242.8,$16.95,+238.9%
67,Nicolai Hojgaard,Aaron Rai,Billy Horschel,Jordan L. Smith,Chad Ramey,Tom Kim,"$49,500",240.2,$15.74,+214.8%
68,Keith Mitchell,Rasmus Hojgaard,Thorbjorn Olesen,Ricky Castillo,Adrien Saddier,Chan Kim,"$50,000",241.5,$17.70,+254.0%
69,Rasmus Neergaard-Petersen,Davis Thompson,Thorbjorn Olesen,Ricky Castillo,Austin Eckroat,Daniel Brown,"$48,100",239.7,$18.28,+265.6%
70,Max McGreevy,Christiaan Bezuidenhout,John Parry,Ricky Castillo,Beau Hossler,Mackenzie Hughes,"$48,400",240.1,$16.92,+238.4%
71,Keith Mitchell,Brooks Koepka,Davis Thompson,Beau Hossler,Mackenzie Hughes,Daniel Brown,"$49,000",240.0,$17.52,+250.5%
72,Shane Lowry,Kristoffer Reitan,Joel Dahmen,Billy Horschel,Chad Ramey,William Mouw,"$48,600",238.8,$13.79,+175.8%
73,Brooks Koepka,Davis Thompson,Thorbjorn Olesen,Eric Cole,Lee Hodges,Austin Eckroat,"$48,300",236.8,$16.42,+228.5%
74,Ryan Gerard,Christiaan Bezuidenhout,Thorbjorn Olesen,John Parry,Zecheng Dou,Daniel Brown,"$49,400",242.9,$18.45,+269.0%
75,Shane Lowry,Nicolai Hojgaard,Michael Brennan,David Ford,William Mouw,Chandler Phillips,"$49,300",242.0,$14.70,+193.9%
76,Daniel Berger,Hao-Tong Li,Kristoffer Reitan,Nicolas Echavarria,Seamus Power,Mark Hubbard,"$49,100",237.2,$15.01,+200.3%
77,Daniel Berger,Aaron Rai,Seamus Power,Jordan L. Smith,Kevin Roy,Garrick Higgo,"$48,900",240.2,$16.41,+228.1%
